01.0	乳 乳制品
01.01	巴氏杀菌乳 灭菌乳 调制乳
01.01.01	巴氏杀菌乳
01.01.02	灭菌乳	
01.01.03	调制乳
01.02	发酵乳 风味发酵乳
01.02.01	发酵乳 酸乳
01.02.02	风味发酵乳 风味酸乳
01.03	乳粉 奶油粉
01.03.01	乳粉 奶油粉
01.03.02	调制乳粉 调制奶油粉	
01.04	炼乳
01.04.01	淡炼乳
01.04.02	调制炼乳
01.05	稀奶油 淡奶油
01.05.01	稀奶油
01.05.03	调制稀奶油
01.05.04	稀奶油类似品
01.06	干酪 再制干酪
01.06.01	非熟化干酪	非熟化干酪 未成熟干酪
01.06.02	熟化干酪	
01.06.03	乳清干酪
01.06.04	再制干酪
01.06.04.01	普通再制干酪
01.06.04.02	调味再制干酪
01.06.05	干酪类似品
01.06.06	乳清蛋白干酪
01.08	乳清粉 牛奶蛋白粉 酷蛋自粉 奶片
02.0	脂肪 油 油脂 乳化脂肪制品
02.01	植物油脂 动物油脂 无水黄油 无水乳脂。	
02.01.01	植物油脂
02.01.01.01	植物油
02.01.01.02	氢化植物油
02.01.02	动物油脂 猪油 牛油 鱼油
02.01.03	无水黄油 无水乳脂
02.02	水油状脂肪乳化制品
02.02.01.01	黄油 浓缩黄油
02.02.01.02	人造黄油 人造奶油 
02.03	脂肪乳化制品 无水人造奶油 人造酥油 无水酥油 无水黄油 无水人造奶油混合品 起酥油 液态酥油 可可脂 植脂奶油
02.04	乳基 脂基
02.05	植脂末 可可脂
03.0	冷冻饮品 冰淇淋 雪糕 风味冰 冰棍 食用冰 冰
03.01	冰淇淋 雪糕
03.03	风味冰 冰棍
03.04	食用冰
04.0	水果 蔬菜 块根 豆 食用菌 藻 坚果 籽
04.01	水果
04.01.01	新鲜水果
04.01.01.01	未经加工的鲜果
04.01.01.02	经表面处理的鲜水果
04.01.01.03	去皮或预切的鲜水果
04.01.02	加工水果
04.01.02.01	冷冻水果
04.01.02.02	水果干
04.01.02.03	醋、油或盐渍水果	包括的产品如醋、油或盐溃的李子、芒果、酸橙等。	
10.03	蛋制品（改变其物理性状）	以鲜蛋为原料，添加或不添加辅料，经相应工艺加工制成的改变了蛋形的制成品。包括脱水蛋制品（如蛋自粉、蛋黄粉、蛋白片）、热凝固蛋制品（如蛋黄酪、松花蛋肠）、冷冻蛋制品（如冰蛋）、液体蛋和其他蛋制品。	
10.03.01	脱水蛋制品（如蛋白粉、蛋黄粉、蛋白片）	在生产过程中经过干燥处理的蛋制品，包括巴氏杀菌全蛋粉（片）、蛋黄粉（片）、蛋自粉（片）等。	
10.03.02	热凝固蛋制品（如蛋黄酪、松花蛋肠）	以蛋或蛋制品为原料，经热凝固处理后制得的产品。如蛋黄酪、松花蛋肠等。	
10.03.03	蛋液与液态蛋	鲜蛋去壳后，所得的蛋液经一系列加工工艺，最后制成冷冻和保鲜的蛋制品，包括巴氏杀菌冰全蛋、冰蛋黄、冰蛋白等。冰冻保存或者经巴氏杀菌及通过化学方式(如加盐等)常温保存的全蛋液、蛋清或蛋黄液。	
10.04	其他蛋制品	除外以上三类(10.01~10.03)的蛋制品。	
11.0	甜味料，包括蜂蜜	包括食糖、淀粉糖、蜂蜜及花粉、餐桌甜味料、调味糖浆等。	
11.01	食糖	以甘蔗、甜菜或原糖为原料生产的白糖及其制品，以及其他糖和糖浆。	
11.01.01	白糖及白糖制品（如白砂糖、绵白糖、冰糖、方糖等）	白糖经浓缩、结晶、分蜜及干燥的白色砂粒状蔗糖。该类产品还包括白糖制品，如白砂糖、绵自糖、冰糖、方糖，糖霜（糖粉）等。	
11.01.02	其他糖和糖浆[如红糖、赤砂糖、冰片糖、原糖、果糖（蔗糖来源）、糖蜜、部分转化糖/槭树糖浆等]	包括除白糖和白糖制品以外的其他糖和糖浆（如红糖、赤砂糖、冰片糖、原糖、蔗糖来源的果糖、糖蜜、部分转化糖、槭树糖浆等）。	
11.02	淀粉糖（果糖、葡萄糖、饴糖、部分转化糖等）	以淀粉或含淀粉的原料，经酶和（或）酸水解制成的液体、粉状（和结晶）的糖。如葡萄糖、葡萄糖浆,葡萄糖浆干粉（固体玉米糖浆）、麦芽糖、麦芽糖浆、果糖、果葡糖浆、固体果葡糖、麦芽糊精等。	
11.03	蜂蜜及花粉	包括蜂蜜和花粉。	
11.03.01	蜂蜜	蜜蜂采集植物的花蜜、分泌物或蜜露，与自身分泌物结合后转化而成的天然甜物质。	
11.03.02	花粉	蜜蜂采集被子植物雄蕊花药或裸子植物小抱子囊内的花粉细胞，形成的团粒状物。	
11.04	餐桌甜味料	直接供消费者饮食调味料、作为糖类替代品的高浓度甜味剂或其混合物。	
11.05	调味糖浆	以白砂糖或葡萄糖浆、果葡糖浆为书要原料，加人水果、果浆或果汁等水果制品、增稠剂、食品用香料等制成的一种增甜稠酱/糖浆。	
11.05.01	水果调味糖浆	以水果、果浆或果汁等水果制品、糖类为主要原料，加入适量辅料制成的甜酱。可作为雪糕顶料直接灌注在雪糕顶部。	
11.05.02	其他调味糖浆	不以水果、果浆或果汁等水果制品为原料制成的调味糖浆。如朱古力调昧糖浆是以可可、乳粉、糖类等为原料，加人适量辅料，制成的朱古力甜酱。	
11.06	其他甜味料	以上五类(11.01~11.05)未包括的甜味料。	
12.0	调味品	包括盐及代盐制品、鲜味剂和助鲜剂、醋、酱油、酱及酱制品、料酒及制品，香辛料类、复合调味料和其他调味料。	
12.01	盐及代盐制品	盐主要为食品级的氯化钠，代盐制品是为减少钠的含量，代替食用盐的调味料，如氯化钾等。	
12.02	鲜味剂和助鲜剂	具有鲜味的和明显增强鲜味作用的精制品。	
12.03	醋	含有一定量乙酸的液态调味品。包括酿造食醋和配制食酷。	
12.03.01	酿造食醋	单独或混合使用各种含有淀粉、糖的物料或酒精，经微生物发酵酿制而成的液体调味品。	
12.03.02	配制食醋	以酿造食醋为主要原料，与食用冰乙酸、食品添加剂等混合配制的调味食醋。	
12.04	酱油	包括酿造酱油和配制酱油。	
12.04.01	酿造酱油	以大豆和(或)脱脂大豆、小麦和(或)麸皮为原料，经微生物发酵制成的具有特殊色、香、味的液体调味品。	
12.04.02	配制酱油	以酿造酱油为主体，与酸水解植物蛋自调味液，食品添加剂等配制而成的液体调味品。	
12.05	酱及酱制品	包括酿造酱和配制酱。	
12.05.01	酿造酱	以粮食为主要原料经微生物发酵酿制的半固态酱类。如黄豆酱、大酱，甜面酱、豆瓣酱等。	
12.05.02	配制酱	以酿造酱为基料，添加其他各种辅料混合制成的酱类。	
12.06	－	
12.07	料酒及制品	以发酵酒、蒸馏酒或食用酒精为主要原料，添加各种调味料(也可加人植物香辛料)，配制加工而成的液体调味品。	
12.08	－	
12.09	香辛料类	包括香辛料及粉、香辛料油、香辛料酱及其他香辛料加工品。	
12.09.01	香辛料及粉	香辛料主要来自各种天然生长植物的果实、茎、叶、皮、根、种子、花蕾等，具有特定的风味、色泽和刺激性味感的植物性产品。香辛料粉为一种或多种香辛料的干燥物组成，包括整粒、大颗粒和粉末状制品。	
12.09.02	香辛料油	以一种或多种香辛料中萃取其呈味成分组成，用植物油等作为分散剂的制品。如黑胡椒油、花椒油、辣椒油、芥末油、香辛料调味油等。	
12.09.03	香辛料酱（如芥末酱、青芥酱）	以香辛料为主要原料加工制成的酱类产品。如芥末酱、青芥酱。	
12.09.04	其他香辛料加工品	除外以上三类(12.09.01~12.09.03)的香辛料产品。	
12.10	复合调味料	包括固体、半固体、液体复合调味料。	
12.10.01	固体复合调味料	以两种或两种以上的调味品为主要原料，添加或不添加辅料，加工而成的呈固态的复合调味料。	
12.10.01.01	固体汤料	以动植物和(或)其浓缩抽提物为主要风味原料，添加食盐等调味料及辅料，干燥加工而成的复合调味料。	
12.10.01.02	鸡精、鸡粉	以味精、鸡肉或鸡骨的粉末或其浓缩抽提物、呈味核苷酸二钠及食用盐等为原料，添加或不添加香辛料和(或)食品用香料，经混合加工而成，具有鸡的鲜味和香味的复合调味料。	
12.10.01.03	其他固体复合调味料	除外上述两类(12.10.01.01及12.10.01.02)的其他固体复合调味料。	
12.10.02	半固体复合调味料	由两种或两种以上调味料为主要原料，添加或不添加辅料，加工制成的复合半固体状调味品，一般指膏状或酱状。如沙拉酱、蛋黄酱和其他复合调味酱。	
12.10.02.01	蛋黄酱、沙拉酱	蛋黄酱：西式调味品。以植物油、酸性配料(食醋、酸味剂)、蛋黄为主料，辅以变性淀粉、甜味剂、食盐、香料、乳化剂、增稠剂等配料，经混合搅拌、乳化均质制成的半固体乳化调味料。 沙拉酱：西式调味品。以植物油、酸性配料(食酷、酸昧剂)等为主料，辅以变性淀粉，甜味剂、食盐、香料、乳化剂、增稠剂等配料，经混合搅拌、乳化均质制成的半固体乳化调味料。	
12.10.02.02	以动物性原料为基料的调味酱	以畜禽肉、海产品等动物性原料和(或)其提取物为基础原料，添加其他调味品，以及添加或不添加黄豆酱、甜面酱等其他辅料制成的调味酱。	
12.10.02.03	以蔬菜为基料的调味酱	以蔬菜为基础原料，添加或不添加黄豆酱、甜面酱等其他辅料制成的调味酱。	
12.10.02.04	其他半固体复合调味料	以上三类（12.10.02.01~12.10.02.03）未包括的半固体复合调味料。	
12.10.03	液体复合调味料（不包括12.03，12.04）	以两种或两种以上的调味料为主要原料，添加或不添加其他辅料，加工而成的复合的液态的调味品。如鸡汁调味料、糟卤和其他液态复合调味料。	
12.10.03.01	浓缩汤（罐装、瓶装）	以动植物或其提取物为主要原料，添加食盐等调味料及辅料，经浓缩而成的汤料。	
12.10.03.02	肉汤、骨汤	以鲜冻畜禽肉、鱼、骨或其抽提物为主要原料，添加调味料及辅料制成的汤料。	
12.10.03.03	调味清汁	稀薄、非乳化的调味汁。	
12.10.03.04	蚝油、虾油、鱼露等	蚝油:利用牡蛎蒸、煮后的汁液进行浓缩或直接用经酶解的牡蛎肉，再加入食糖和(或)甜味剂、食熬、淀粉或改性淀粉等原料，辅以其他配料和食品添加剂制成的调味品。虾油:从虾酱中提取的汁液称为虾油。鱼露:以鱼、虾，贝类为原料，在较高盐分下经生物酶解制成的鲜昧液体调味品。包括其他来源相类似的液体复合调味料。	
12.11	其他调味料	除外以上10类(12.01~12.10)的调味料。	
13.0	特殊膳食用食品	包括婴幼儿配方食品、婴幼儿辅助食品、特殊医学用途配方食品和其他特殊膳食用食品。	
13.01	婴幼儿配方食品	包含婴儿配方食品、较大婴幼儿和幼儿配方食品、特殊医学用途婴儿配方食品。	
13.01.01	婴儿配方食品	以乳及其加工制品和(或)豆类及其加工制品为主要原料，加入适量的维生素、矿物质和共他辅料，经加工制成的供0~12个月婴儿食用的产品。	
13.01.02	较大婴儿和幼儿配方食品	以乳及其加工制品和(或)豆类及其加工制品为主要原料，加入适量的维生素、矿物质和其他辅料，经加工制成的供6~12个月婴儿和1~3岁幼儿食用的产品。	
13.01.03	特殊医学用途婴儿配方食品	指针对患有特殊紊乱、疾病或医疗状况等特殊医学状况婴儿的营养需求而设计制成的粉状或液态配方食品。在医生或临床营养师的指导下，单独食用或与其他食物配合食用时，其能量和营养成分能够满足0~6月龄特殊医学状况婴儿的生长发育需求。	
13.02	婴幼儿辅助食品	包括婴幼儿谷类辅助食品和婴幼儿罐装辅助食品。	
13.02.01	婴幼儿谷类辅助食品	以一种或多种谷物(如：小麦、大米、大麦、燕麦、黑麦、玉米等)为主要原料，且谷物占干物质组成的25%以上，添加适量的营养强化剂和(或)其他辅料，经加工制成的适于6月龄以上婴儿和幼儿食用的埔助食品。	
13.02.02	婴幼儿罐装辅助食品	食品原料经处理、灌装、密封、杀菌或无菌灌装后达到商业无菌，可在常温下保存的适于6月龄以上婴幼儿食用的食品。	
13.03	-	
13.04	-	
13.05	其他特殊膳食用食品	除上述类别外的其他特殊膳食用食品(包括辅食营养补充品、运动营养食品，以及其他具有相应国家标准的特殊膳食用食品)。	
14.0	饮料类	经过定量包装的，供直接饮用或按一定比例用水冲调或冲泡饮用的，乙醇含量不超过0.5%的制品。也可为饮料浓浆或固体形态。	
14.01	包装饮用水类	以直接来源于地表、地下或公共供水系统的水为水源，经加工制成的密封于容器中可直接饮用的水。	
14.01.01	饮用天然矿泉水	从地下深处自然涌出的或经钻井采集的，含有一定量的矿物质、微量元素或其他成分，在一定区域未受污染并采取预防措施避免污染的水;在通常情况下，其化学成分、流量、水温等动态指标在天然周期波动范围内相对稳定。	
14.01.02	饮用纯净水	以直接来源于地表、地下或公共供水系统的水为水源，经适当的水净化加工方法，制成的不含任何食品添加剂的制品。	
14.01.03	其他类饮用水	除饮用天然矿采水和饮用纯净水外的包装饮用水。	
14.02	果蔬汁类及其饮料	以水果和(或)蔬菜(包括可食的根、茎、叶、花、果实)等为原料，经加工或发酵制成的液体饮料。	
14.02.01	果蔬汁（浆）	以水果或蔬菜为原料，采用物理方法（机械方法、水浸提等）制成的可发酵但未发酵的汁液、浆液制品;或在浓缩果蔬汁（浆）中加入其加工过程中除去的等量水分复原制成的汁液、浆液制品，如原榨果汁（非复原果汁）、果汁（复原果汁）、蔬菜汁、果浆/蔬菜浆、复合果蔬汁（浆）等。	
14.02.02	浓缩果蔬汁（浆）	以水果或蔬菜为原料，从采用物理方法榨取的果汁（浆）或蔬菜汁（浆）中除去一定量的水分制成的，加入其加工过程中除去的等量水分复原后具有果汁（浆）或蔬菜汁（桨）应有特征的制品。含有不少于两种浓缩果汁（浆）、或浓缩蔬菜汁（浆）、或浓缩果汁（浆）和浓缩蔬菜汁（浆）的制品为浓缩复合果蔬汁（浆）。	
14.02.03	果蔬汁(浆)类饮料	以果蔬汁(浆)、浓缩果蔬汁(浆)为原料，添加或不添加其他食品原辅料和(或)食品添加剂，经加工制成的制品，如果蔬汁饮料、果肉(浆)饮料、复合果蔬汁饮料、果蔬汁饮料浓浆、发酵果蔬汁饮料、水果饮料等。	
14.03	蛋白饮料	以乳或乳制品，或其他动物来源的可食用蛋白，或含有一定蛋白质的植物果实、种子或种仁等为原料，添加或不添加其他食品原辅料和（或）食品添加剂，经加工或发酵制成的液体饮料。	
14.03.01	含乳饮料	以乳或乳制品为原料，添加或不添加其他食品原辅料和(或)食品添加剂，经加工或发酵制成的制品。如配制型含乳饮料、发醉型含乳饮料、乳酸菌饮料等。	
14.03.01.01	发酵型含乳饮料	以乳或乳制品为原料，经乳酸菌等有益菌培养发酵添加或不添加其他食品原辅料和食品添加剂，经加工制成的饮料。根据其是否经过杀菌处理而区分为杀菌(非活菌)型和未杀菌(活菌)型。	
14.03.01.02	配制型含乳饮料	以乳或乳制品为原料，加入水，添加或不添加其他食品原辅料和食品添加剂，经加工制成的饮料。	
14.03.01.03	乳酸菌饮料	以乳或乳制品为原料，经乳酸菌发酵，添加或不添加其他食品原辅料和食品添加剂，经加工制成的饮料，根据其是否经过杀菌处理而区分为杀菌(非活菌)型和未杀菌(活菌)型。	
14.03.02	植物蛋白饮料	以一种或多种含有一定蛋白质的植物果实、种子或种仁等为原料，添加或不添加其他食品原辅料和(或)食品添加剂，经加工或发酵制成的制品。 以两种或两种以上含有一定蛋白质的植物果实、种子、种仁等为原料，添加或不添加其他食品原辅料和(或)食品添加剂，经加工或发酵制成的制品也可称为复合植物蛋白饮料，如花生核桃、核桃杏仁、花生杏仁复合植物蛋白饮料。	
14.03.03	复合蛋白饮料	以乳或乳制品，和一种或多种含有一定蛋白质的植物果实、种子或种仁等为原料，添加或不添加其他食品原辅料和(或)食品添加剂，经加工或发酵制成的制品。	
14.03.04	其他蛋白饮料	14.03.01~14.03.03之外的蛋白饮料。	
14.04	碳酸饮料	以食品原辅料和(或)食品添加剂为基础，经加工制成的，在一定条件下充入一定量二氧化碳气体的液体饮料，如果汁型碳酸饮料、果味型碳酸饮料、可乐型碳酸饮料、其他型碳酸饮料等，不包括由发酵自身产生二氧化碳气的饮料。	
14.04.01	可乐型碳酸饮料	以可乐香精或类似可乐果香型的香精为主要香气成分的碳酸饮料。	
14.04.02	其他型碳酸饮料	除可乐型以外的其他碳酸饮料。包括果汁型碳酸饮料、果味型碳酸饮料和其他碳酸饮料等。	
14.05	茶、咖啡、植物（类）饮料	包括茶（类）饮料、咖啡（类）饮料和植物饮料。	
14.05.01	茶（类）饮料	以茶叶或茶叶的水提取液或其浓缩液、茶粉（包括速溶茶粉、研磨茶粉）或直接以茶的鲜叶为原料，添加或不添加食品原辅料和（或）食品添加剂，经加工制成的液体饮料，如原茶汁（茶汤/纯茶饮料、茶浓缩液、茶饮料、果汁茶饮料、奶茶饮料、复（混）合茶饮料、其他茶饮料等。	
14.05.02	咖啡（类）饮料	以咖啡豆和（或）咖啡制品（研磨咖啡粉、咖啡的提取液或其浓缩液、速溶咖啡等）为原料，添加或不添加糖（食糖、淀粉糖）、乳和（或）乳制品、植脂末等食品原辅料和（或）食品添加剂，经加工制成的液体饮料，如浓咖啡饮料、咖啡饮料、低咖啡因咖啡饮料、低咖啡因浓咖啡饮料等。	
14.05.03	植物饮料	以植物或植物提取物为原料，添加或不添加其他食品原辅料和（或）食品添加剂，经加工或发酵制成的液体饮料。如可可饮料、谷物类饮料、草本（本草）饮料、食用菌饮料、藻类饮料、其他植物饮料等。不包括果蔬汁类及其饮料、茶（类）饮料和咖啡（类）饮料。	
14.06	固体饮料	用食品原辅料、食品添加剂等加工制成的粉末状、颗粒状或块状等，供冲调或冲泡饮用的固态制品，如风味固体饮料、果蔬固体饮料、蛋白固体饮料、茶固体饮料、咖啡固体饮料、植物固体饮料、特殊用途固体饮料、其他固体饮料等。	
14.06.01	-	
14.06.02	蛋白固体饮料	以乳和(或)乳制品，或其他动物来源的可食用蛋白，或含有一定蛋白质含量的植物果实、种子或果仁或其制品等为原料，添加或不添加其他食品原辅料和食品添加剂，经加工制成的固体饮料。	
14.06.03	速溶咖啡	以咖啡豆和(或)咖啡制品(研磨咖啡粉、咖啡的提取液或其浓缩液)为原料，不添加其他食品原辅料，可添加食品添加剂，经加工制成的固体饮料。	
14.06.04	其他固体饮料	蛋白固体饮料和速溶咖啡之外的固休饮料，包括风味固体饮料、果蔬固体饮料、茶固体饮料、咖啡固体饮料、植物固体饮料、特殊用途固体饮料，以及上述以外的固体饮料。	
14.07	特殊用途饮料	加入具有特定成分的适应所有或某些人群需要的液体饮料。如营养素饮料(维生素饮料等)、能量饮料、电解质饮料、其他特殊用途饮料。	
14.08	风味饮料	以糖(包括食糖和淀粉糖)和(或)甜味剂、酸度调节剂、食用香精(料)等的一种或者多种作为调整风味的主要手段，经加工或发酵制成的液体饮料，如茶味饮料、果味饮料、乳味饮料、咖啡味饮料、风味水饮料、其他风味饮料等。其中，风味水饮料是指不经调色处理、不添加糖(包括食糖和淀粉糖)的风味饮料，如苏打水饮料、薄荷水饮料、玫瑰水饮料等。	
14.09	其他饮料类	14.01~14.08之外的饮料。	
15.0	酒类	酒精度在0.5%以上的酒精饮料，包括蒸馏酒、配制酒、发酵酒。	
15.01	蒸馏酒	以粮谷、薯类、水果、乳类为主要原料，经发酵、蒸馏、勾兑而成的饮料酒。包括白酒、调香蒸馏酒、白兰地、威士忌、伏特加、朗姆酒及其他蒸馏酒。	
15.01.01	白酒	以粮谷为主要原料，用大曲、小曲或麸曲及酒母等为糖化发酵剂，经蒸煮、糖化、发酵、蒸馏而制成的蒸馏酒。	
15.01.02	调香蒸馏酒	以蒸馏酒为酒基，经调香而制成的产品。	
15.01.03	白兰地	以新鲜水果或果汁为原料，经发酵、蒸馏、贮存、调配而成的蒸馏酒。	
15.01.04	威士忌	以麦芽、谷物为原料，经糖化、发酵、蒸馏、贮存、调配而成的蒸馏酒。	
15.01.05	伏特加	以谷物、薯类、糖蜜以及其他可食用农作物等为原料，经发醉、蒸馏制成食用酒精，在经过特殊工艺精制加工制成的蒸馏酒。	
15.01.06	朗姆酒	以甘蔗汁或蜂蜜为原料，经发酵、蒸馏，陈酿、调配而成的蒸馏酒。	
15.01.07	其他蒸馏酒	除上述产品(15.01.01~15.01.06)以外的蒸馏酒。	
15.02	配制酒	以发酵酒、蒸馏酒或食用酒精为酒基，加入可食用或药食两用的辅料或食品添加剂，进行调配、混合或再加工制成的、已改变了其原酒基风格的饮料酒。	
15.03	发酵酒	以粮谷、水果、乳类等为主要原料，经发酵或部分发酵酿制而成的饮料酒。包括葡萄酒、黄酒、果酒、蜂蜜酒、啤酒和麦芽饮料及其他发酵酒类(充气型)。	
15.03.01	葡萄酒	以新鲜葡萄或葡萄汁为原料，经全部或部分发酵酿制而成的、含有一定酒精度的发酵酒。	
15.03.01.01	无汽葡萄酒	在20℃时，二氧化碳压力小于0.05MPa的葡萄酒。	
15.03.01.02	起泡和半起泡葡萄酒	在发酵过程产生二氧化碳气体的葡萄酒，也包括部分或全部充入二氧化碳气体的葡萄酒。在20℃时，二氧化碳压力大于等于0.05MPa。	
15.03.01.03	调香葡萄酒	以葡萄酒为酒基，经浸泡芳香植物或加入芳香植物的浸出液(或馏出液)而制成的葡萄酒。	
15.03.01.04	特种葡萄酒（按特殊工艺加工制作的葡萄酒，如在葡萄原酒中加入白兰地，浓缩葡萄汁等）	以鲜葡萄、葡萄汁或葡萄酒为原料按特殊工艺加工制作的葡萄酒，如在葡萄原酒中加人白兰地，浓缩葡萄汁等。	
15.03.02	黄酒	以稻米、黍米等为主要原料，加曲、酵母等糖化发酵剂发酵酿制而成的发酵酒。	
15.03.03	果酒	以新鲜水果或果汁为原料，经全都或部分发酵酿制而成的发酵酒。	
15.03.04	蜂蜜酒	以蜂蜜为原料，经发酵酿制成的酒类。	
15.03.05	啤酒和麦芽饮料	以麦芽、水为主要原料，加啤酒花(包括酒花制品)，经酵母发酵酿制而成的、含有二氧化碳的、起泡的、低酒精度的发酵酒。(注:包括酒精度低于0.5%的无醇啤酒)	
15.03.06	其他发酵酒类（充气型）	除上述产品（15.03.01~15.03.05）以外的发酵酒。	
16.0	其他类（第01.0-15.0类除外）	本类别汇总了在01.0~15.0类别中暂无法划归的类别。	
16.01	果冻	以食用胶和食糖和(或)甜味剂等为原料，经蒸胶、调配、灌装、杀菌等工序加工而成的胶冻食品。	
16.02	茶叶、咖啡和茶制品	包括茶叶、咖啡以及含茶制品，	
16.02.01	茶叶、咖啡	茶叶:以茶树鲜叶为原料经加工制成的，含有咖啡碱、茶多酚、茶氨酸等物质的产品。咖啡:咖啡属植物的果实和种子，由果皮、种皮、种仁和胚经加工后制出的供消费用的产品。	
16.02.02	茶制品(包括调味茶和代用茶)	茶制品指含茶制品，包括调味茶和代用茶。调味茶指以茶叶为原料。配以各种可食用物质或食品用香料等制成的调昧茶类。代用茶是指选用可食用植物的叶、花、果(实)、根茎等为原料加工制作的、采用类似茶叶冲泡(浸泡)方式供人们饮用的产品。	
16.03	胶原蛋白肠衣	以猪皮、牛真皮层的胶原蛋白纤维为原料制成的、用于制备中西式灌肠的蛋白肠衣。	
16.04	酵母及酵母类制品	以酵母菌种为主体，经培养制成的可用于食品工业的菌体及其制品。	
16.04.01	干酵母	经过分离、干燥等工序制成的酵母产品。	
16.04.02	其他酵母及酵母类制品	除干酵母以外的其他酵母产品及以酵母为原料，经水解、提纯、干燥等工艺制成的酵母类制品。	
16.05	—	
16.06	膨化食品	以谷类、薯类、豆类、果蔬类或坚果籽类等为主要原料，采用膨化工艺制成的组织疏松或松脆的食品。	
16.07	其他	以上各类(16.01~16.06)未包括的其他食品。	
